StationID	Easting	Northing	Sites		
S02-BRI1	442042	4631036		#N/A	#N/A
S02-CPR1	444272	4632517		#N/A	#N/A
S02-MCP1	443849	4630690		#N/A	#N/A
S02-PIP1	439385	4631521		#N/A	#N/A
S02-PLP1	446141	4632666		#N/A	#N/A
S02-TNE1	450172	4630663		#N/A	#N/A
S02-TNW1	450118	4630397		#N/A	#N/A
S03-ARP1	439022	4628447		#N/A	#N/A
S03-JKP1	451553	4625766		#N/A	#N/A
S03-JKP2	451796	4626151		#N/A	#N/A
S03-LCP1	437635	4629399		#N/A	#N/A
S03-PSP1	439199	4626503		#N/A	#N/A
S03-VIP1	437876	4628109		#N/A	#N/A
S03-WAP1	440288	4629118		#N/A	#N/A
S04-HAP1	435234	4625682		#N/A	#N/A
S04-OTW1	433244	4629563		#N/A	#N/A
S04-SSP1	433760	4627804		#N/A	#N/A
S04-VFP1	433888	4626105		#N/A	#N/A
S04-WEP1	435111	4626634		#N/A	#N/A
S05-LNC1	429760	4621558		#N/A	#N/A
S05-RES1	431534	4623607		#N/A	#N/A
S05-SFP1	428795	4623564		#N/A	#N/A
S05-SFP2	428691	4623408		#N/A	#N/A
S06-CBW1	425314	4619769		#N/A	#N/A
S06-CBW2	425770	4620051		#N/A	#N/A
S07-SAG1	422039	4616369		#N/A	#N/A
S07-STJ1	422440	4616686		#N/A	#N/A
S07-WGL1	421579	4617126		#N/A	#N/A
S07-WGL2	421471	4617014		#N/A	#N/A
S08-WGL1	416857	4616262		#N/A	#N/A
S08-WGL2	417471	4616052		#N/A	#N/A
S09-ILC1	411684	4610203		#N/A	#N/A
S09-KTP1	413952	4614568		#N/A	#N/A
S09-SMC1	415686	4612193		#N/A	#N/A
S09-VTW1	411592	4613668		#N/A	#N/A
S09-VTW2	411772	4613771		#N/A	#N/A
S10-ILC1	410942	4610112		#N/A	#N/A
S10-LEW1	410239	4605858		#N/A	#N/A
S10-LPC1	412640	4604963		#N/A	#N/A
S10-LPP1	410609	4604013		#N/A	#N/A
S10-LPP2	410631	4604024		#N/A	#N/A
